full_model_name,model,accuracy_percentage,avg_question_order_score,accuracy_rank,ranking_score_rank,rank_difference
deepseek/deepseek-r1,deepseek-r1,90.3,0.7,1,5.0,4.0
anthropic/claude-3.7-sonnet-thinking,claude-3.7-sonnet-thinking,88.3695652173913,0.7478260869565218,2,1.0,1.0
openai/gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,88.3,0.7342704149933065,3,2.0,1.0
openai/gpt-4.1-mini,gpt-4.1-mini,88.0,0.704,4,4.0,0.0
deepseek/deepseek-chat-v3,deepseek-chat-v3,86.3,0.6653333333333332,5,8.0,3.0
meta-llama/llama-4-scout,llama-4-scout,85.1,0.6793333333333332,6,6.0,0.0
openai/o4-mini-2025-04-16,o4-mini-2025-04-16,82.88590604026845,0.6588366890380314,7,9.0,2.0
google/gemini-2.5-pro-preview,gemini-2.5-pro-preview,80.83333333333333,0.7055555555555556,8,3.0,5.0
mistralai/mistral-small-3.1-24b-instruct,mistral-small-3.1-24b-instruct,80.30000000000001,0.5990437158469946,9,12.0,3.0
google/gemini-2.5-flash-preview,gemini-2.5-flash-preview,69.6,0.6766666666666667,10,7.0,3.0
qwen/qwen-2.5-7b-instruct,qwen-2.5-7b-instruct,69.1,0.6005398110661269,11,11.0,0.0
meta-llama/llama-3.1-8b-instruct,llama-3.1-8b-instruct,56.7,0.6172566371681416,12,10.0,2.0
mistralai/mistral-7b-instruct,mistral-7b-instruct,50.4,0.5342789598108747,13,14.0,1.0
meta-llama/llama-3.2-3b-instruct,llama-3.2-3b-instruct,47.9,0.5502873563218391,14,13.0,1.0
