model_name,correct_individual_answers_count,question_accuracy_percentage,avg_question_order_score,adjusted_avg_question_order_score,ranking_accuracy,question_accuracy_rank,ranking_accuracy_rank,rank_difference
anthropic/claude-3.7-sonnet-thinking,813,88.3695652173913,0.7478260869565218,0.6880000000000001,0.6880000000000001,2.0,4.0,-2.0
deepseek/deepseek-chat-v3,863,86.3,0.6653333333333332,0.6653333333333332,0.6653333333333332,5.0,7.0,-2.0
deepseek/deepseek-r1,903,90.3,0.7,0.7,0.7,1.0,3.0,-2.0
google/gemini-2.5-flash-preview,696,69.6,0.6766666666666667,0.6766666666666667,0.6766666666666667,9.0,6.0,3.0
google/gemini-2.5-pro-preview,291,80.83333333333333,0.7055555555555556,0.254,0.254,7.0,14.0,-7.0
meta-llama/llama-3.1-8b-instruct,567,56.699999999999996,0.6172566371681416,0.558,0.558,11.0,10.0,1.0
meta-llama/llama-3.2-3b-instruct,479,47.9,0.5502873563218391,0.2553333333333333,0.2553333333333333,14.0,13.0,1.0
meta-llama/llama-4-scout,851,85.1,0.6793333333333332,0.6793333333333332,0.6793333333333332,6.0,5.0,1.0
mistralai/mistral-7b-instruct,504,50.4,0.5342789598108747,0.3013333333333333,0.3013333333333333,12.0,12.0,0.0
mistralai/mistral-small-3.1-24b-instruct,803,80.30000000000001,0.5990437158469946,0.5846666666666667,0.5846666666666667,8.0,9.0,-1.0
openai/gpt-4.1,883,88.3,0.7342704149933065,0.7313333333333333,0.7313333333333333,3.0,1.0,2.0
openai/gpt-4.1-mini,880,88.0,0.704,0.704,0.704,4.0,2.0,2.0
openai/o4-mini,494,49.4,0.6588366890380314,0.3926666666666666,0.3926666666666666,13.0,11.0,2.0
qwen/qwen-2.5-7b-instruct,691,69.1,0.6005398110661269,0.5933333333333334,0.5933333333333334,10.0,8.0,2.0
